"Status","Name","Duration in ms","Description"
"passed","scripts.E:\Scripts\通讯录case\scripts.test_contace.TestContact.test_contact_tel[args0]","35806",""
"passed","scripts.E:\Scripts\通讯录case\scripts.test_contace.TestContact.test_contact_email[args0]","37162",""
